child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
e183tad,e100,E183TAD,E100,Terrorism and democracy ,Stansfield Turner,0395430860;9780395430866,Boston : Houghton Mifflin,1991
e183t$b,e100,E183T$B,E100,The $36 billion bargain : strategy and politics in US assistance to Israel ,AFK Organski,0231071965;9780231071963;0231071973;9780231071970,New York : Columbia Univ Press,1990
e183tah,e100,E183TAH,E100,The American house of Saud : the secret petrodollar connection ,Steven Emerson,0531097781;9780531097786,New York : F Watts,1985
e183tan,e100,E183TAN,E100,The Armageddon network ,Michael P Saba ; edited  Evan Hendricks,0915597071,Vermont : Amana Books,1984
e183tai,e100,E183TAI,E100,The Ayatollah in the cathedral ,Moorhead Kennedy ; with an afterword  Louisa Kennedy,0809027658;9780809027651;0809015331;9780809015337,New York : Hill and Wang,1986
e183tbd,e100,E183TBD,E100,The biggest deal ,Roy Assersohn,413506401,London : Methuen,1982
e183tbs,e100,E183TBS,E100,The broken sword of justice : America Israel and the Palestine tragedy ,[By] Margaret Arakie,0704320223;0704330172;9780704320222;9780704330177,London : Quartet,8.I7
e183tdh,e100,E183TDH,E100,The destined hour : the hostage crisis and one family's ordeal ,Barbara and Barry Rosen with George Feifer,0385178956 : $17.95;9780385178952,Garden City,1982
e183tea,e100,E183TEA,E100,The eagle and the lion : the tragedy of American-Iranian relations ,James A Bill,300040970,New Haven : Yale University Press,1988
ja84teo,ja80,JA84TEO,JA80,The evolution of the Egyptian national image : from its origins to Ahmad Lutfi al-Sayyid ,Charles Wendell,520021118,Berkeley : University of California Press,1972
e183tgo,e100,E183TGO,E100,The game of nations  the amorality of power politics,Charles Wendell,0671205323;9780671205324,New York : Simon and Schuster,1970
e183tgt,e100,E183TGT,E100,The guts to try : the untold story of the Iran hostage rescue mission by the on-scene desert commander ,James H Kyle with John Robert Eidson,0517577143;9780517577141,New York : Orion Books,1990
e183tpa,e100,E183TPA,E100,The passiote attachment : America's involvement with Israel; 1947 to the present ,George W Ball and Douglas B Ball,0393029336;9780393029338,Norton,1992
e183tl,e100,E183TL,E100, Theodore L Eliot,editors, Jr [and others],The Red Army on Pakistan's border : policy implications for the United States ,0080344879;9780080344874
e184f,e100,E184F,E100, foreword  Michael Novak,Philip M Kayal and Joseph M Kayal,The Syrian-Lebanese in America  a study in religion and assimilation ,0805784128;9780805784121,[New York] : Twayne Publishers
e183tus,e100,E183TUS,E100,The United States and the Palestinians ,Mohammed K Shadid,0312833156;9780312833152,New York : St Martin's Press,1981
e183tus,e100,E183TUS,E100,The United States and Iran; 1946-51 : the diplomacy of neglect ,James F Goode,0333471032;9780333471036,Macmillan,1989
e183tus,e100,E183TUS,E100,The United States and Israel : the limits of the special relationship ,Abraham Ben-Zvi,0231081847;9780231081849,Columbia UP,1993
e183tus,e100,E183TUS,E100,The United States and Saudi Arabia : ambivalent allies ,David E Long,0813302080;9780813302089;ZBWT00027332,Boulder : Westview Press,1985
jk468tot,jk400,JK468TOT,JK400,Trail of the octopus : from Beirut to Lockerbie--inside the DIA ,Donald Goddard with Lester K Coleman,074751562X;9780747515623,London,1993
e183ufp,e100,E183UFP,E100,US foreign policy and the shah : building a client state in Iran ,Mark J Gasiorowski,0801424127;9780801424120,Ithaca,1991
e183wwi,e100,E183WWI,E100,Western window in the Arab world ,Leon Borden Blair ; foreword  Mohammed el Fasi,0292700830;9780292700833,Austin : University of Texas Press, F70
e183wf,e100,E183WF,E100,Witness : from the Shah to the secret arms deal : an insider's account of US involvement in Iran ,Mansur Rafizadeh,0688073697;9780688073695,New York : W Morrow,1987
ja71 tla,ja700,JA71 TLA,JA700,The loss and recovery of truth : selected writings ,Gerhart Niemeyer ; edited  Michael Henry,9781587314728;158731472X;9781587314735;1587314738,South Bend,2013
e184pa,e100,E184PA,E100,Puro arte : Filipinos on the stages of empire ,Lucy Mae San Pablo Burns,9780814744437;0814744435;9780814725450;0814725457;9780814708132;0814708137;9780814744499;0814744494,New York University Press,©2012
e183 as,e1000,E183 AS,E1000,American speeches.,Scott Farris,1931082979;9781931082976;1931082987;9781931082983,Distributed to the trade in the United States by Penguin Putm; Library of America,2006
e185lor,e100,E185LOR,E100,Long old road : back to Black metropolis ,Horace R Cayton,9781412811217;141281121X,Transaction Publishers,2010
e184ca,e100,E184CA,E100,Coming apart : the state of white America; 1960-2010 ,Charles Murray,9780307453426;0307453421;9780307453440;0307453448,Crown Forum,2012
e185cc,e100,E185CC,E100,Colored cosmopolitanism : the shared struggle for freedom in the United States and India ,Nico Slate,9780674059672;0674059670,Harvard University Press,2012
e183eaa,e100,E183EAA,E100,Evangelicals and American foreign policy ,Mark R Amstutz,9780199987634;0199987637;9780199987641;9780199987658,Oxford University Press,2014
e185atu,e100,E185ATU,E100,A nation under our feet : black political struggles in the rural South from slavery to the great migration ,Steven Hahn,0674011694;9780674011694;067401765X;9780674017658,Belkp,2003
e183pop,e100,E183POP,E100,Perceptions of Palestine : their influence on U.S. Middle East policy ,Kathleen Christison,0520217187;9780520217188,University of California Press,1999
e169dad,e100,E169DAD,E100,Disciplirity and dissent in cultural studies ,edited  Cary Nelson and Dilip Parameshwar Gaonkar,0415913713;0415913721,Routledge,1996
e169mca,e100,E169MCA,E100,Mass culture and everyday life ,edited  Peter Gibian,0415916747;0415916755,Routledge,1996
e184mfw,e100,E184MFW,E100,My father's wars : migration; memory; and the violence of a century ,Alisse Waterston,9780415859172;0415859174;9780415859189;0415859182;9780203798744,Routledge,2014
e185aho,e100,E185AHO,E100,A history of prejudice : race; caste; and difference in India and the United States ,Gyanendra Pandey,9781107029002;1107029007;9781107609389;1107609380,Cambridge University Press,2013
e184cdi,e100,E184CDI,E100,Cultural diversity in the United States ,edited  Larry L Naylor,9780897894784;0897894782;9780897894791;0897894790,Bergin & Garvey,1997
e169pm,e100,E169PM,E100,Prosthetic memory : the transformation of American remembrance in the age of mass culture ,Alison Landsberg,0231129262;0231129270,Columbia University Press,2004
e184caa,e100,E184CAA,E100,Chinese Americans and their immigrant parents : conflict; identity; and values ,May Paomay Tung,0789010550;0789010569,Haworth Clinical Practice Press,2000
e184amr,e100,E184AMR,E100,American mixed race : the culture of microdiversity ,edited  Naomi Zack,0847680126;0847680134,Rowman & Littlefield,1995
e169tpp,e100,E169TPP,E100,The postmodern presence : readings on postmodernism in American culture and society ,edited  Arthur Asa Berger,076198979X;0761989803,AltaMira P,1998
e169ttd,e100,E169TTD,E100,The terror dream : myth and misogyny in an insecure America ,Susan Faludi,9780312428006;0312428006,Picador,2008
e185rca,e100,E185RCA,E100,Race; culture; and the intellectuals : 1940-1970 ,Richard H King,9780801880650;0801880653;9780801880667;0801880661,Johns Hopkins University Press; Woodrow Wilson Center Press,2004
e164 tro,e1000,E164 TRO,E1000,The reshaping of everyday life; 1790-1840 ,Jack Larkin,0060916060;9780060916060;0060159057;9780060159054,HarperPerennial,1989
e184ls,e100,E184LS,E100,La storia : five centuries of the Italian American experience; 1492-1992 ,Jerre Mangione & Ben Morreale,0060924411,HarperCollins Publishers,1992
e184bt,e100,E184BT,E100,Brown : the last discovery of America ,Richard Rodriguez,0142000795,Viking,2002
e188 ac,e1000,E188 AC,E1000,American colonies ,Alan Taylor ; [map illustrations  Jeffrey Ward],9780142002100;0142002100,Penguin,2002
e178 gml,e1000,E178 GML,E1000,Give me liberty! : An American history ,Eric Foner,9780393934304;0393934306,WW Norton,2011
e191 tby,e1000,E191 TBY,E1000,The barbarous years : the peopling of British North America : the conflict of civilizations; 1600-1675 ,Bernard Bailyn,9780394515700;0394515706,Alfred A Knopf,2012
e178 ooo,e1000,E178 OOO,E1000,Out of our past : the forces that shaped modern America ,Carl N Degler,0061319856;9780061319853,Harper & Row,1984
e169aia,e100,E169AIA,E100,Anti-intellectualism in American life ,Richard Hofstadter,0394703170,Vintage Books,1963
e188 gii,e1000,E188 GII,E1000,Great issues in American history ,edited  Clarence L  Ver Steeg and Richard Hofstadter,0394705408;9780394705408,Vintage Books,1969
e183ara,e100,E183ARA,E100,America; Russia; and the Cold War; 1945-2006 ,Walter LaFeber,9780073534664;0073534668,McGraw-Hill,2008
e169afg,e100,E169AFG,E100,A field guide to getting lost ,Rebecca Solnit,0143037242,Penguin,2006
e188tpo,e100,E188TPO,E100,The peopling of British North America : an introduction ,Joseph C Morton,0394757793,Vintage Books,1988
e178 tph,e1000,E178 TPH,E1000,The Penguin history of the United States of America ,Hugh Brogan,014025255X,Penguin,2001
e302rc,e300,E302RC,E300,Revolutiory characters : what made the founders different ,Gordon S Wood,1594200939;9781594200939;9780143112082;0143112082,Penguin Press,2007
e169tgd,e100,E169TGD,E100,The Great Depression in America : a cultural encyclopedia.,William H Young and Nancy K Young,0313335206;9780313335204;0313335214;9780313335211;0313335222;9780313335228,Harcourt Education distributor; Greenwood,2007
e169tlo,e100,E169TLO,E100,The life of the mind in America : from the Revolution to the Civil War ,Perry Miller,0156519909,Harcourt,1965
e178 tgo,e1000,E178 TGO,E1000,The growth of the American republic ,Samuel Eliot Morison and Henry Steele Commager,0195025954;9780195025958;0195025938;9780195025934;0195025946;9780195025941,OUP,1980
e112 ah,e1000,E112 AH,E1000,American holocaust : the conquest of the New World ,David E  Stannard,9780195085570;0195085574,Oxford University press,1992
e183saf,e100,E183SAF,E100,Support any friend : Kennedy's Middle East and the making of the U.S.-Israel alliance ,Warren Bass,9780195165807;0195165802;9780195177503,Oxford University Press,2004
e185tso,e100,E185TSO,E100,The shadow of the panther : Huey Newton and the price of Black power in America ,Hugh Pearson,9780201483413;0201483416,Addison-Wesley,1994
e183 sa,e1000,E183 SA,E1000,Self-rule : a cultural history of American democracy ,Robert H Wiebe,0226895629;9780226895628;9780226895635;0226895637,U of Chicago P,1995
e184tce,e100,E184TCE,E100,The Chinese experience in America ,Shih-shan Henry Tsai,0253313597;0253203872,India UP,1986
e185tao,e100,E185TAO,E100,The autobiography of Malcolm X ,with the assistance of Alex Haley ; foreword  Attallah Shabazz ; introduction  MS Handler ; epilogue  Alex Haley ; afterword  Ossie Davis,9780345350688;0345350685;9780606003674;0606003673;9780812419535,Ballantine,1999
e185blm,e100,E185BLM,E100,Black like me ,John Howard Griffin,9780451234216;0451234219,Signet,2010
e169ts,e100,E169TS,E100,The seventies : the great shift in American culture; society; and politics ,Bruce J Schulman,030681126X,Da Capo,2002
e185rt,e100,E185RT,E100,Redemption : the last battle of the Civil War ,Nicholas Lemann,9780374530693;0374530696,Farrar Straus and Giroux,2007
e183fts,e100,E183FTS,E100,For the soul of mankind : the United States; the Soviet Union; and the Cold War ,Melvyn P Leffler,9780809097173;0809097176;9780374531423;0374531420,Hill and Wang,2007
e302tbt,e300,E302TBT,E300,To begin the world anew : the genius and ambiguities of the American founders ,Bernard Bailyn,0375713085;9780375713088,Vintage,2004
e183dt,e100,E183DT,E100,Dangerous tion ,Robert Kagan,0375724915;9780375724916,Knopf,2006
e184wtw,e100,E184WTW,E100,Working toward whiteness : how America's immigrants became white : the strange journey from Ellis Island to the suburbs ,David R  Roediger,9780465070749;0465070744,Perseus Running distributor; BasicBooks,2006
e185coa,e100,E185COA,E100,Coming of age in Mississippi ,Anne Moody,9.78039E+12,Delta Trade Paperbacks,2004
e185sba,e100,E185SBA,E100,Slavery by another me : the re-enslavement of Black Americans from the Civil War to World War II ,Douglas A Blackmon,9780385722704;0385722702,Anchor Books,2009
e302tro,e300,E302TRO,E300,The rise of American democracy : Jefferson to Lincoln ,Sean Wilentz,9780393058208;0393058204,Norton,2005
e183yr,e100,E183YR,E100,Yellow ribbon : the secret journal of Bruce Laingen ,L Bruce Laingen,0028810309 : $23.00;9780028810300,Washington : Brassey's (US),1992
e269rc,e200,E269RC,E200,Rough crossings : Britain the slaves and the American Revolution ,Simon Schama,006053916X;9780060539160;9780060539160,New York : Ecco,2006
e169ias,e100,E169IAS,E100,I'm a stranger here myself : notes on returning to America after twenty years away ,Bill Bryson,076790382X;9780767903820,New York : Broadway Books,2000
e118 tlv,e1000,E118 TLV,E1000,The last voyage of Columbus : being the epic tale of the great captain's fourth expedition including accounts of swordfight mutiny shipwreck gold war hurricane and discovery ,Martin Dugard,0316828831;9780316828833,New York : Little,2005
e183jtu,e100,E183JTU,E100,Jordan the United States and the Middle East peace process 1974-1991 ,Madiha Rashid Al Madfai,0521415233;9780521415231,Cambridge [England] ; New York,1993
e183swt,e100,E183SWT,E100,Sleeping with the devil : how Washington sold our soul for Saudi crude ,Robert Baer,1400050219;9781400050215,New York : Crown,2003
e183upt,e100,E183UPT,E100,US policy toward Iraq ,F Gregory Gause III,9948003233;9789948003236,Abu Dhabi,2002
ja79 eih,ja700,JA79 EIH,JA700,Ethics in hard times ,edited  Arthur L Caplan and Daniel Callahan,0306407906;9780306407901,New York : Plenum Press,E825
e184oop,e100,E184OOP,E100,Out of place : a memoir ,Edward W Said,1862073708;9781862073708,London : Granta,2000
ja84ct,ja80,JA84CT,JA80,China : the political philosophy of the middle kingdom ,Tongdong Bai,9781780320755;1780320752;9781780320762;1780320760,London ; New York : Zed Books,2012
ja71 mop,ja700,JA71 MOP,JA700,Models of political competence : the evolution of political norms in the works of Burgundian and Habsburg court historians c 1470-1700 ,Maria Golubeva,9789004231054;9004231056;9789004250741,Leiden : Brill,2013
ja83 pwv,ja800,JA83 PWV,JA800,Politics without vision : thinking without a banister in the twentieth century ,Tracy B Strong,9780226777467;0226777464,University of Chicago Press,2012
jk171 tpa,jk1000,JK171 TPA,JK1000,Tom Paine's America : the rise and fall of transatlantic radicalism in the early republic ,Seth Cotlar,9780813931005;0813931002;9780813931067;0813931061,University of Virginia Press,2011
ja76 tem,ja700,JA76 TEM,JA700,The Ellen Meiksins Wood reader ,edited  Larry Patriquin,9789004230088;9004230084;9789004230095;9004230092,Extenza Turpin distributor; Brill,2012
ja84sla,ja80,JA84SLA,JA80,Settlers; liberty; and empire : the roots of early American political theory; 1675-1775 ,Craig Yirush,9780521193306;0521193303;9780521132466;0521132460,Cambridge University Press,2011
ja84pr,ja80,JA84PR,JA80,Political romanticism ,"Carl Schmitt ; translated  Guy Oakes ; with a new introduction  Graham McAleer""",9781412814720;1412814723,Transaction,2011
ja84ea,ja80,JA84EA,JA80,Eurocentrism : a Marxian critical realist critique ,Nick Hostettler,9780415565103;0415565103;9780203861905;0203861906,Routledge,2012
ja71 oho,ja700,JA71 OHO,JA700,Oxford handbook of governance ,edited  David Levi-Faur,9780199560530;0199560536,Oxford University Press,2012
ja71 pp,ja700,JA71 PP,JA700,Philosophic pride : Stoicism and political thought from Lipsius to Rousseau ,Christopher Brooke,9780691152080;069115208X,Princeton University Press,2012
ja71 fpa,ja700,JA71 FPA,JA700,Foucault; politics; and violence ,Johanna Oksala,9780810128026;0810128020;9780810128033;0810128039,Northwestern University Press,2012
ja71 pp,ja700,JA71 PP,JA700,Political philosophy : the essential texts ,edited  Steven M Cahn,0195177088;9780195177084,Oxford University Press,2005
jk155 ptf,jk1000,JK155 PTF,JK1000,Philosophy; the Federalist and the Constitution ,Morton White,9780195039115;0195039114;9780195059489;0195059484,OUP,1987
ja83 lap,ja800,JA83 LAP,JA800,Liberty and property : a social history of Western political thought from Renaissance to Enlightenment ,Ellen Meiksins Wood,9781844677528;1844677524,Verso,2012
ja71 iam,ja700,JA71 IAM,JA700,Interpretation and method : empirical research methods and the interpretive turn ,edited  Dvora Yanow and Peregrine Schwartz-Shea,9780765635396;0765635399;9780765635402;0765635402,ME Sharp Inc,2014
ja84cha,ja80,JA84CHA,JA80,Classical humanism and republicanism in English political thought; 1570-1640 ,Markku Peltonen,0521496950,Cambridge University Press,1995
ja71 pp,ja700,JA71 PP,JA700,Political philosophy : a very short introduction ,David Miller,9780192803955;0192803956,Oxford University Press,2003
ja71 lot,ja700,JA71 LOT,JA700,Lectures on the history of political philosophy ,John Rawls ; edited  Samuel Freeman,0674024923;9780674024922,Belknap Press of Harvard University Press,2007
ja84vca,ja80,JA84VCA,JA80,Virtue; commerce; and history : essays on political thought and history; chiefly in the eighteenth century ,JGA Pocock,0521257018;0521276608,Cambridge University Press,1985
ja71 cpp,ja700,JA71 CPP,JA700,Contemporary political philosophy : radical studies ,edited  Keith Graham,9780521245517;0521245516;9780521287838;0521287839,Cambridge University Press,1982
e100,e,E100,E,,,,,
jk4000,jk,JK4000,JK,,,,,
ja80,ja,JA80,JA,,,,,
f300,f,F300,F,,,,,
f500,f,F500,F,,,,,
f800,f,F800,F,,,,,
f400,f,F400,F,,,,,
jk400,jk,JK400,JK,,,,,
ja800,ja,JA800,JA,,,,,
e200,e,E200,E,,,,,
e1000,e,E1000,E,,,,,
ja700,ja,JA700,JA,,,,,
e300,e,E300,E,,,,,
jk1000,jk,JK1000,JK,,,,,
e500,e,E500,E,,,,,
dba500,e500,E500DB,E500,Dummy book,Dummy author,123456789,Dummy publisher,2023
