CallNumber,Author,Title,ISBN,PubName,PubYear
E 841 Bog, James. Boggs,The American revolution : pages from a negro worker's notebook ,9780853450153; 0853450153,Monthly Review P,1963
E 841 Bro, Thomas Brown,J.F.K. : history of an image ,9781850431121; 1850431124,Tauris,1988
E 841 CAV, Dominick J. Cavallo,A fiction of the past : the sixties in American history ,9780312235017; 0312235011,Palgrave,1999
E 841 COL, Dominick J. Cavallo,The Columbia guide to America in the 1960s ,9780231113724; 0231113722,Columbia University Press,2001
E 841 Cha, David Mark. Chalmers,And the crooked places made straight : the struggle for social change in the 1960s ,9780801853333; 0801853338; 9780801853340; 0801853346,Johns Hopkins University Press,1996
E 841 Cub, David Mark. Chalmers,The "Cuban crisis" of 1962 : selected documents; chronology and bibliography ,9780819152992; 0819152994,UP of America,1986
E 841 Cub, David Mark. Chalmers,The Cuban missile crisis ,9780812961461; 0812961463,Quadrangle Books,1971
E 841 Cub, David Mark. Chalmers,The Cuban missile crisis ,9780910129152; 0910129150,Markus Weiner,1988
E 841 Cub, David Mark. Chalmers,The Cuban missile crisis revisited ,9780312060695; 0312060696,St Martin's P,1992
E 841 Cub, David Mark. Chalmers,The Cuban missile crisis; 1962 : a tiol Security Archive documents reader ,9781565840195; 1565840194,New P,1992
E 841 DOB, Michael Dobbs,One minute to midnight ,0099492458; 9780099492450,Arrow,2009
E 841 Dan, J. M. Daniel,Strike in the West : the complete story of the Cuban crisis ,,Holt Rinehart and Winston,1963
E 841 Det, D. Detzer,The brink : Cuban missile crisis; 1962 ,9780460044752; 0460044753,Dent,1980
E 841 Don, A. D. Dold,John F. Kennedy and the New Frontier ,,Hill,1966
E 841 ECH, Alice. Echols,Shaky ground : the sixties and its aftershocks ,9780231106719; 0231106718; 9780231106702; 023110670X,Columbia University Press,2002
E 841 EUB, Keith. Eubank,The missile crisis in Cuba ,9780894648908; 089464890X,Krieger Pub,2000
E 841 FLA, Michael W. Flamm,Debating the 1960s : liberal; conservative; and radical perspectives ,0742522121; 9780742522121; 074252213X; 9780742522138,Rowman & Littlefield,2007
E 841 FRE, Lawrence. Freedman,Kennedy's wars : Berlin; Cuba; Laos; and Vietm ,0195152433; 9780195152432,Oxford University Press,2002
E 841 FRO, Joan. Morrison,From Camelot to Kent State : the sixties experience in the words of those who lived it ,9780195144536; 0195144538,Oxford University Press,2001
E 841 Fai, H. Fairlie,The Kennedy promise : the politics of expectation ,9780413302502; 0413302504,Eyre Methuen,1973
E 841 Far, David R. Farber,The age of great dreams : America in the 1960s ,9780809024018; 0809024012,Hill & Wang,1994
E 841 Fit, L. Fitzsimons,The Kennedy doctrine ,,Random House,1972
E 841 Ful, H. Fuller,Year of trial : Kennedy's crucial decisions ,,Harcourt,1962
E 841 Fur, Aleksandr. Fursenko,"One hell of a gamble" : Khrushchev; Castro; Kennedy and the Cuban missile crisis; 1958-1964 ,9780719555183; 0719555183,John Murray,1997
E 841 Gar, Raymond L. Garthoff,Reflections on the Cuban missile crisis ,9780815730538; 0815730535,Brookings Institution,1989
E 841 Gig, James N. Giglio,The presidency of John F. Kennedy ,9780700605200; 0700605207,University Press of Kansas,1991
E 841 Gro, Atolii Andreevich. Gromyko,Through Russian eyes : President Kennedy's 1036 days ,,Intertiol Library,1973
E 841 HAL, David. Halberstam,The best and the brightest ,9780214668579; 0214668576,Barrie,1972
E 841 HEA, M. J. Heale,The sixties in America : history; politics and protest ,9781853312052; 1853312053,Edinburgh University Press,2001
E 841 Hig, Trumbull. Higgins,The perfect failure : Kennedy; Eisenhower and the C.I.A. at the Bay of Pigs ,9780393024739; 0393024733,Norton,1987
E 841 Hil, Roger. Hilsman,The Cuban missile crisis : the struggle over policy ,9780275954352; 0275954358,Praeger,1996
E 841 His, Roger. Hilsman,Historical dictiory of the 1960s ,9780313292712; 031329271X,Greenwood P,1999
E 841 ISS, Maurice author. Isserman,America divided : the Civil War of the 1960s ,0190217189; 9780190217181,Oxford University Press,2015
E 841 ISS, Maurice. Isserman,America divided : the Civil War of the 1960s ,9780195091908; 0195091906; 9780195091915; 0195091914,Oxford University Press,2000
E 841 ISS, Maurice. Isserman,America divided : the civil war of the 1960s ,9780195160468; 0195160460; 9780195160475; 0195160479,Oxford University Press,2004
E 841 Ken, Maurice. Isserman,Kennedy's quest for victory : American foreign policy; 1961-1963 ,9780195045840; 019504584X; 9780195045857; 0195045858,OUP,1989
E 841 Ken, Maurice. Isserman,The Kennedy tapes : inside the White House during the Cuban missile crisis ,9780674179264; 0674179269,Belkp P,1997
E 841 Ken, John F. 1917-1963. (John Fitzgerald) Kennedy,Kennedy and the Press : the News Conferences ,,Crowell,1965
