CallNumber,Author,Title,ISBN,PubName,PubYear,CB
JQ1825.A75 G38,F Gregory Gause III,Oil monarchies : domestic and security challenges in the Arab Gulf States ,0876091516;9780876091517,New York :3b Council On Foreign Relations Press,1993,no
E183.8.I55 F64,Ken Follett,On wings of eagles ,000217006X;9780002170062,London : Collins,1983,no
JV8749.P3 A85,"[] Ehud Avriel ; preface  Golda Meir""",Open the gates! : A personal story of illegal immigration to Israel ,0297769693;9780297769699,London : Weidenfeld & Nicolson,1975,no
JV8749.I8 H5513,"Shlomo Hillel ; translated  Ina Friedman""",Ruaḥ ḳadim English+Operation Babylon ,0385235976;9780385235976,Garden City,1987,no
JC49 .H85,Khaldun S al-Husry,Origins of modern Arab political thought ,0882060376;9780882060378,Delmar,1980,no
JQ1825.S82 B37,Karl K Barbir,Ottoman rule in Damascus 1708-1758 ,0691052972;9780691052977,Princeton,1980,no
E840.8.S255 A3,Pierre Salinger,PS a memoir ,031215187X : $14.95;9780312151874,New York : St Martin's Griffin,1995,no
JQ552.Z1 C54,Mustafa Chowdhury,Pakistan its politics and bureaucracy ,817045025X;9788170450252,New Delhi : Associated Pub House,1988,no
JX4084.I8 C38,Mustafa Chowdhury,Palestine and international law : the legal aspects of the Arab-Israeli conflict,0582780381;9780582780385,[London] : Longman,1974,no
JX1977.2.P3 N8,Hazem Zaki Nuseibeh,Palestine and the United Nations ,0704322897;9780704322899,New York : Quartet Books,1981,no
JF274 .P37,edited  Ernest Gellner and John Waterbury,Patrons and clients in Mediterranean societies ,0910116997;9780910116992;0715609416;9780715609415,London : Duckworth ; Hanover,1977,no
JQ1758.A91 D44,R Hrair Dekmejian,Patterns of political leadership : Egypt Israel Lebanon ,087395291X;9780873952910;0873952928;9780873952927,Albany : State University of New York Press,1975,no
E183.8.I55 R83,Barry Rubin,Paved with Good Intentions : the American Experience and Iran ,0195028058;9780195028058,OUP,1980,yes
E876 .L44,Michael A Ledeen,Perilous statecraft : an insider's account of the Iran-Contra affair ,0684189941;9780684189949,New York : Scribner,1988,no
E183.8.I55 S36,Charles W Scott,Pieces of the game : the human drama of Americans held hostage in Iran ,0931948517 : $14.95;9780931948510,Atlanta, S26,no
JC49 .A928,Nazih N Ayubi,Political Islam : religion and politics in the Arab world ,0415054427;9780415054423;0415103851;9780415103855,London ; New York : Routledge,1991,no
JQ1825 .J67,Amnon Cohen,Political parties in the West Bank under Jordanian regime 1949-1967 ,0801413214;9780801413216,Ithaca : Cornell University Press,1982,no
JQ1758.A979 P65,edited  Frank Tachau,Political parties of the Middle East and North Africa ,0720122368;9780720122367,London : Mansell,1994,no
JC49 .M67,Abdul Rashid Moten,Political science : an Islamic perspective ,0333643119;9780333643112;0312127111;9780312127114,Houndmills,1996,no
JA84.A6 K5,Majid Khadduri,Political trends in the Arab world : the role of ideas and ideals in politics ,0801811228;9780801811227,Baltimore : Johns Hopkins Press,1970,no
JQ3595 .H23,Henri Pierre Habib,Politics and government of revolutionary Libya ,0775360104;9780775360103,Montrl : Cercle du livre de France,1975,no
JC49 .K5314,"Ayatollah Seyyed Ruhollah Khomeyni ; traduction M Kotobi et B Simon avec le concours de Ozra Banisadre""",Ḥukūmah al-Islāmīyah French+Pour un gouvernement islamique ,2862210412,Paris : Fayolle,1979,no
E176.1 .G84,Edward Grey,Presidents of the United States ,0600560066;9780600560067,London : Hamlyn,1988,no
E183.7 .M4715,Walter A McDougall,Promised land; crusader state : the American encounter with the world since 1776 ,0395830850;9780395830857;0395901324;9780395901328,Houghton Mifflin,1998,yes
JQ1825.I7 K43,Samir al-Khalil,Republic of fear : the politics of modern Iraq ,0091740193;9780091740191,London : Hutchinson,1989,no
JQ1850.A98 Q394,Walid W Kazziha,Revolutionary transformation in the Arab world : Habash and his comrades from nationalism to Marxism ,085314237X,London : C Knight,1975,no
JZ3700 .S53,Greg Shapland,Rivers of discord : international water disputes in the Middle East ,1850652147;9781850652144,London : Hurst & Co,1997,no
JQ1758.A91 R85,edited  Ellis Goldberg, Resat Kasaba, and Joel Migdal,Rules and rights in the Middle East : democracy law and society ,0295972866;9780295972862;0295972874;9780295972879,no
E183.8.S25 H37,Parker T Hart,Saudi Arabia and the United States : birth of a security partnership ,0253334608;9780253334602,Bloomington : Indiana University Press,1998,no
