child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
jb200nr,jb200,JB200NR,JB200,Non-democratic regimes ,Paul Brooker,9781137305794; 1137305797; 9781137305800; 1137305800,,2014
jb210dp,jb200,JB210DP,JB200,Democracy promotion : a critical introduction ,Jeff Bridoux and Milja Kurki,9780415857796; 0415857791; 9780415857802; 0415857805,Routledge,2014
jb200e,jb200,JB200E,JB200,Equality ,Stuart White,9780745627731; 0745627730; 9780745627748; 0745627749,Polity Press,2007
e100,e,E100,E,,,,,
e10,e,E10,E,,,,,
e200,e,E200,E,,,,,
e1000,e,E1000,E,,,,,
e300,e,E300,E,,,,,
ja10,ja,JA10,JA,,,,,
ja100,ja,JA100,JA,,,,,
ja500,ja,JA500,JA,,,,,
jb60,jb,JB60,JB,,,,,
jb100,jb,JB100,JB,,,,,
jb200,jb,JB200,JB,,,,,
jb50,jb,JB50,JB,,,,,
jb0,jb,JB0,JB,,,,,
dba500,e100,E100DB,E100,Dummy book,Dummy author,123456789,Dummy publisher,2023
