CallNumber,Author,Title,ISBN,PubName,PubYear,CB
E 206 S,Gary B Nash and Graham Russell Gao Hodges,Friends of liberty : Thomas Jefferson; Tadeusz Kościuszko; and Agrippa Hull : a tale of three patriots; two revolutions; and a tragic betrayal of freedom in the new tion ,0465048145; 9780465048144,Basic Books,2008,yes
E 302.1 BAI,Bernard Bailyn,To begin the world anew : the genius and ambiguities of the American founders ,0375713085; 9780375713088,Vintage,2004,yes
E 183.7 KAG,Robert Kagan,Dangerous tion ,9780375411052; 0375411054; 0375724915; 9780375724916,Knopf,2006,yes
E 184.A1 ROE,David R  Roediger,Working toward whiteness : how America's immigrants became white : the strange journey from Ellis Island to the suburbs ,0465070744; 9780465070749,Perseus Running distributor; BasicBooks,2006,yes
E 185.97.M65 A3,Anne Moody,Coming of age in Mississippi ,9780385337816; 0385337817,Delta Trade Paperbacks,2004,yes
E 185.2 BLA,Douglas A Blackmon,Slavery by another me : the re-enslavement of Black Americans from the Civil War to World War II ,0385722702; 9780385722704,Anchor Books,2009,yes
E 302.1 WIL,Sean Wilentz,The rise of American democracy : Jefferson to Lincoln ,9780393058208; 0393058204; 9780393329216; 0393329216,Norton,2005,yes
E 184.M33 DIA,Manthia Diawara,We won't budge : an African exile in the world ,9780465017102; 046501710X,BasicBooks,2004,yes
E 175.45 His,edited  John R Wunder,Historians of the American frontier : a bio-bibliographical sourcebook ,9780313248993; 0313248990,Greenwood P,1988,yes
E 199 Jen,Francis Jennings,Empire of fortune : crowns; colonies; and tribes in the Seven Years War in America ,9780393025378; 0393025373,Norton,1988,yes
E 175 APP,Joyce Oldham Apple ; with Lynn Hunt and Margaret Jacob,Telling the truth about history ,0393036154; 9780393036152; 0393312860; 9780393312867,Norton,1994,yes
E 169.Z82 COM,edited  Thomas Frank and Matt Weiland,"Commodify your dissent : salvos from ""The Baffler"" ",9780393316735; 0393316734,WWNorton,1997,yes
E 185.97.T8 PAI,Nell Irvin Painter,Sojourner Truth : a life; a symbol ,9780393027396; 0393027392; 9780393317084; 0393317080,WW Norton,1996,yes
E 184.I5 HAK,Roya Hakakian,Journey from the land of no : a girlhood caught in revolutiory Iran ,0609810308; 9780609810309,Hi Marketing distributor; Random House,2006,yes
E 221 WIL,Garry Wills,Inventing America : Jefferson's Declaration of Independence ,9780618257768; 0618257764,Houghton Mifflin Co,2002,yes
E 169.12 Git,Todd Gitlin,The sixties : years of hope; days of rage ,9780553372120; 0553372122,Bantam Books,1993,yes
E 169.12 Mil,Douglas T Miller,On our own : Americans in the sixties ,9780669247770; 0669247774,DC Heath,1996,yes
E 185.61 Bra,Taylor Branch,Parting the waters : America in the King years; 1954-63 ,9780671687427; 0671687425,Simon and Schuster,1989,yes
